edit_stop,8170,8180,GAP1,TbRGG2
9,TRUE,FALSE,FALSE,FALSE
10,FALSE,FALSE,FALSE,FALSE
11,FALSE,FALSE,FALSE,FALSE
12,TRUE,FALSE,FALSE,TRUE
13,FALSE,FALSE,FALSE,FALSE
14,FALSE,TRUE,FALSE,FALSE
15,FALSE,TRUE,FALSE,TRUE
16,FALSE,TRUE,FALSE,TRUE
17,FALSE,FALSE,FALSE,FALSE
18,FALSE,FALSE,FALSE,FALSE
19,FALSE,TRUE,FALSE,TRUE
20,FALSE,FALSE,FALSE,FALSE
21,FALSE,FALSE,FALSE,FALSE
22,FALSE,FALSE,TRUE,FALSE
23,FALSE,FALSE,TRUE,FALSE
24,FALSE,FALSE,TRUE,FALSE
25,FALSE,TRUE,FALSE,FALSE
26,FALSE,TRUE,FALSE,FALSE
27,FALSE,TRUE,FALSE,FALSE
28,FALSE,FALSE,FALSE,FALSE
29,FALSE,TRUE,FALSE,FALSE
30,FALSE,TRUE,FALSE,TRUE
31,FALSE,TRUE,FALSE,FALSE
32,FALSE,FALSE,FALSE,FALSE
33,FALSE,FALSE,FALSE,FALSE
34,FALSE,FALSE,FALSE,FALSE
35,FALSE,TRUE,FALSE,TRUE
36,FALSE,TRUE,FALSE,TRUE
37,FALSE,TRUE,FALSE,TRUE
38,FALSE,FALSE,FALSE,FALSE
39,FALSE,FALSE,FALSE,FALSE
40,FALSE,FALSE,TRUE,FALSE
41,FALSE,FALSE,FALSE,FALSE
42,FALSE,FALSE,FALSE,FALSE
43,FALSE,FALSE,FALSE,FALSE
44,FALSE,FALSE,FALSE,FALSE
45,FALSE,FALSE,FALSE,FALSE
46,FALSE,FALSE,FALSE,FALSE
47,FALSE,FALSE,FALSE,FALSE
48,FALSE,FALSE,FALSE,FALSE
49,FALSE,FALSE,FALSE,FALSE
50,FALSE,FALSE,FALSE,FALSE
51,FALSE,FALSE,FALSE,FALSE
52,FALSE,FALSE,FALSE,FALSE
53,FALSE,TRUE,FALSE,TRUE
54,FALSE,FALSE,FALSE,FALSE
55,FALSE,FALSE,FALSE,FALSE
56,FALSE,FALSE,FALSE,FALSE
57,FALSE,FALSE,FALSE,FALSE
58,FALSE,FALSE,FALSE,FALSE
59,FALSE,FALSE,FALSE,FALSE
60,FALSE,FALSE,FALSE,FALSE
61,FALSE,FALSE,FALSE,FALSE
62,FALSE,FALSE,FALSE,FALSE
63,FALSE,FALSE,FALSE,FALSE
64,FALSE,FALSE,FALSE,FALSE
65,FALSE,FALSE,FALSE,FALSE
66,FALSE,FALSE,FALSE,FALSE
67,FALSE,FALSE,FALSE,FALSE
68,FALSE,FALSE,FALSE,FALSE
69,FALSE,FALSE,FALSE,FALSE
70,FALSE,FALSE,FALSE,FALSE
71,FALSE,FALSE,FALSE,FALSE
72,FALSE,FALSE,FALSE,FALSE
73,FALSE,FALSE,FALSE,FALSE
74,FALSE,FALSE,FALSE,FALSE
75,FALSE,FALSE,FALSE,FALSE
76,FALSE,FALSE,FALSE,FALSE
77,FALSE,FALSE,FALSE,FALSE
78,FALSE,TRUE,TRUE,TRUE
79,FALSE,FALSE,FALSE,FALSE
80,FALSE,TRUE,FALSE,FALSE
81,FALSE,FALSE,TRUE,FALSE
82,FALSE,FALSE,FALSE,FALSE
83,FALSE,FALSE,FALSE,TRUE
84,FALSE,FALSE,FALSE,FALSE
85,FALSE,FALSE,FALSE,FALSE
86,FALSE,FALSE,FALSE,FALSE
87,FALSE,FALSE,FALSE,FALSE
88,FALSE,FALSE,FALSE,FALSE
89,FALSE,FALSE,FALSE,FALSE
90,FALSE,FALSE,FALSE,FALSE
91,FALSE,FALSE,FALSE,FALSE
92,FALSE,FALSE,FALSE,FALSE
93,FALSE,FALSE,FALSE,FALSE
94,FALSE,FALSE,FALSE,FALSE
95,FALSE,FALSE,FALSE,FALSE
96,FALSE,FALSE,FALSE,FALSE
97,FALSE,FALSE,FALSE,FALSE
98,FALSE,FALSE,FALSE,FALSE
99,FALSE,FALSE,FALSE,FALSE
100,FALSE,FALSE,FALSE,TRUE
101,FALSE,FALSE,FALSE,FALSE
102,FALSE,FALSE,FALSE,FALSE
103,FALSE,FALSE,FALSE,FALSE
104,FALSE,FALSE,FALSE,FALSE
105,FALSE,FALSE,FALSE,FALSE
106,FALSE,FALSE,TRUE,FALSE
107,FALSE,FALSE,FALSE,FALSE
108,FALSE,FALSE,FALSE,FALSE
109,FALSE,FALSE,FALSE,FALSE
110,FALSE,FALSE,FALSE,FALSE
111,FALSE,FALSE,FALSE,FALSE
112,FALSE,FALSE,FALSE,FALSE
113,FALSE,FALSE,FALSE,FALSE
114,FALSE,FALSE,FALSE,FALSE
115,FALSE,FALSE,FALSE,FALSE
116,FALSE,FALSE,FALSE,FALSE
117,FALSE,FALSE,FALSE,FALSE
118,FALSE,FALSE,FALSE,FALSE
119,FALSE,FALSE,TRUE,FALSE
120,FALSE,FALSE,FALSE,FALSE
121,FALSE,FALSE,FALSE,FALSE
122,FALSE,FALSE,FALSE,FALSE
123,FALSE,FALSE,FALSE,FALSE
124,FALSE,FALSE,FALSE,FALSE
125,FALSE,FALSE,FALSE,FALSE
126,FALSE,FALSE,FALSE,FALSE
127,FALSE,FALSE,FALSE,FALSE
128,FALSE,FALSE,FALSE,FALSE
129,FALSE,FALSE,FALSE,FALSE
130,FALSE,FALSE,FALSE,FALSE
131,FALSE,FALSE,FALSE,FALSE
132,FALSE,FALSE,FALSE,FALSE
133,FALSE,FALSE,FALSE,FALSE
134,FALSE,FALSE,FALSE,FALSE
135,TRUE,FALSE,FALSE,FALSE
136,FALSE,FALSE,FALSE,FALSE
137,FALSE,FALSE,FALSE,FALSE
138,FALSE,FALSE,FALSE,FALSE
139,FALSE,FALSE,FALSE,FALSE
140,FALSE,FALSE,FALSE,FALSE
141,FALSE,FALSE,FALSE,FALSE
142,FALSE,FALSE,FALSE,FALSE
143,FALSE,FALSE,FALSE,FALSE
